ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes
1786120631.255,c2,search,,0.0,31.1,20.71,10.93,S3,0,,0,4474.0,obs,511,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.93,S3,4.772,0
1786120631.255,c2,recommend,,0.0,26.76,14.03,3.96,S3,0,,0,200.0,obs,683,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.96,S3,4.772,0
1786120632.255,c1,reserve,6000,0.053,26.29,13.62,3.55,S3,0,,0,36.0,obs,344,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.55,S3,4.75,0
1786120632.255,c1,search,6000,6.562,24.54,14.15,4.14,S3,0,,0,4474.0,obs,511,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.14,S3,4.75,0
1786120632.255,c1,recommend,6000,0.293,26.47,13.73,3.57,S3,0,,0,200.0,obs,688,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.57,S3,4.75,0
1786120632.255,c2,reserve,,0.0,26.34,13.67,3.6,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.6,S3,4.75,0
1786120632.255,c2,search,,0.0,31.1,20.71,10.7,S3,0,,0,4474.0,obs,511,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.7,S3,4.75,0
1786120632.255,c2,recommend,,0.0,26.76,14.03,3.87,S3,0,,0,200.0,obs,688,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.87,S3,4.75,0
1786120633.255,c1,reserve,6000,0.053,26.29,13.62,3.44,S3,0,,0,36.0,obs,340,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.44,S3,4.744,0
1786120633.255,c1,search,6000,6.562,24.54,14.15,4.05,S3,0,,0,4474.0,obs,514,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.05,S3,4.744,0
