run_id,policy,t_rel_s,n_c1_search,c1_search_viol_pct,c1_search_viol_pct_roll3,rate_kbit
B_ramp_site_s3,site_s3,202,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,203,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,204,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,205,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,206,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,207,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,208,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,209,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,210,137,100.0,100.0,1600
B_ramp_site_s3,site_s3,211,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,212,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,213,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,214,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,215,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,216,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,217,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,218,131,100.0,100.0,1600
B_ramp_site_s3,site_s3,219,137,100.0,100.0,1600
B_ramp_site_s3,site_s3,220,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,221,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,222,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,223,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,224,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,225,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,226,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,227,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,228,136,100.0,100.0,1600
B_ramp_site_s3,site_s3,229,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,230,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,231,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,232,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,233,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,234,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,235,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,236,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,237,136,100.0,100.0,1600
B_ramp_site_s3,site_s3,238,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,239,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,240,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,241,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,242,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,243,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,244,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,245,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,246,136,100.0,100.0,1600
B_ramp_site_s3,site_s3,247,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,248,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,249,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,250,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,251,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,252,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,253,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,254,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,255,136,100.0,100.0,1600
B_ramp_site_s3,site_s3,256,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,257,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,258,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,259,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,260,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,261,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,262,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,263,131,100.0,100.0,1600
B_ramp_site_s3,site_s3,264,137,100.0,100.0,1600
B_ramp_site_s3,site_s3,265,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,266,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,267,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,268,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,269,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,270,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,271,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,272,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,273,136,100.0,100.0,1600
B_ramp_site_s3,site_s3,274,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,275,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,276,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,277,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,278,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,279,133,100.0,100.0,1600
