run_id,policy,t_rel_s,c1_search_viol_pct,n_c1_search,all_viol_pct,S1_pct,S2_pct,S3_pct
A_server_site_s3,site_s3,149,6.8182,132,5.0251,0.0,0.0,100.0
A_server_site_s3,site_s3,150,7.4627,134,4.3424,0.0,0.0,100.0
A_server_site_s3,site_s3,151,3.7313,134,2.1223,0.0,0.0,100.0
A_server_site_s3,site_s3,152,17.1642,134,14.6801,0.0,0.0,100.0
A_server_site_s3,site_s3,153,5.2632,133,4.125,0.0,0.0,100.0
A_server_site_s3,site_s3,154,8.3969,131,6.0453,0.0,0.0,100.0
A_server_site_s3,site_s3,155,11.1111,135,7.5589,0.0,0.0,100.0
A_server_site_s3,site_s3,156,4.4776,134,2.75,0.0,0.0,100.0
A_server_site_s3,site_s3,157,7.5758,132,4.3915,0.0,0.0,100.0
A_server_site_s3,site_s3,158,6.6667,135,3.6205,0.0,0.0,100.0
A_server_site_s3,site_s3,159,6.0606,132,3.4956,0.0,0.0,100.0
A_server_site_s3,site_s3,160,7.4627,134,4.7441,0.0,0.0,100.0
A_server_site_s3,site_s3,161,5.2239,134,4.875,0.0,0.0,100.0
A_server_site_s3,site_s3,162,14.3939,132,7.5377,0.0,0.0,100.0
A_server_site_s3,site_s3,163,7.5188,133,4.75,0.0,0.0,100.0
A_server_site_s3,site_s3,164,5.2239,134,2.8607,0.0,0.0,100.0
A_server_site_s3,site_s3,165,8.9552,134,6.9913,0.0,0.0,100.0
A_server_site_s3,site_s3,166,6.7669,133,4.1302,0.0,0.0,100.0
A_server_site_s3,site_s3,167,6.015,133,3.6341,0.0,0.0,100.0
A_server_site_s3,site_s3,168,4.5802,131,2.2613,0.0,0.0,100.0
A_server_site_s3,site_s3,169,10.3704,135,4.9689,0.0,0.0,100.0
A_server_site_s3,site_s3,170,5.2239,134,3.1289,0.0,0.0,100.0
A_server_site_s3,site_s3,171,10.4478,134,5.3952,0.0,0.0,100.0
A_server_site_s3,site_s3,172,11.3636,132,8.7391,0.0,0.0,100.0
A_server_site_s3,site_s3,173,9.7015,134,6.9652,0.0,0.0,100.0
A_server_site_s3,site_s3,174,7.4627,134,4.4944,0.0,0.0,100.0
A_server_site_s3,site_s3,175,16.6667,132,15.7828,0.0,0.0,100.0
A_server_site_s3,site_s3,176,11.194,134,6.9825,0.0,0.0,100.0
A_server_site_s3,site_s3,177,2.2556,133,3.6115,0.0,0.0,100.0
A_server_site_s3,site_s3,178,6.015,133,5.0,0.0,0.0,100.0
A_server_site_s3,site_s3,179,8.1481,135,7.3842,0.0,0.0,100.0
A_server_site_s3,site_s3,180,10.6061,132,4.3805,0.0,0.0,100.0
A_server_site_s3,site_s3,181,3.7313,134,2.2472,0.0,0.0,100.0
A_server_site_s3,site_s3,182,6.8182,132,4.25,0.0,0.0,100.0
A_server_site_s3,site_s3,183,6.7164,134,4.0,0.0,0.0,100.0
A_server_site_s3,site_s3,184,10.5263,133,5.375,0.0,0.0,100.0
A_server_site_s3,site_s3,185,7.4074,135,5.3683,0.0,0.0,100.0
A_server_site_s3,site_s3,186,4.5802,131,2.25,0.0,0.0,100.0
A_server_site_s3,site_s3,187,8.8889,135,6.3591,0.0,0.0,100.0
A_server_site_s3,site_s3,188,2.2388,134,1.875,0.0,0.0,100.0
A_server_site_s3,site_s3,189,6.7164,134,3.7547,0.0,0.0,100.0
A_server_site_s3,site_s3,190,3.8168,131,3.2622,0.0,0.0,100.0
A_server_site_s3,site_s3,191,11.2782,133,4.4832,0.0,0.0,100.0
A_server_site_s3,site_s3,192,2.2222,135,1.3716,0.0,0.0,100.0
A_server_site_s3,site_s3,193,2.9851,134,3.125,0.0,0.0,100.0
A_server_site_s3,site_s3,194,10.687,131,6.4151,0.0,0.0,100.0
A_server_site_s3,site_s3,195,11.194,134,8.1047,0.0,0.0,100.0
A_server_site_s3,site_s3,196,8.2707,133,4.6192,0.0,0.0,100.0
A_server_site_s3,site_s3,197,11.9403,134,6.125,0.0,0.0,100.0
A_server_site_s3,site_s3,198,15.7895,133,10.8586,0.0,0.0,100.0
A_server_site_s3,site_s3,199,8.2707,133,6.5839,0.0,0.0,100.0
A_server_site_s3,site_s3,200,11.194,134,6.592,0.0,0.0,100.0
A_server_site_s3,site_s3,201,2.2388,134,1.5019,0.0,0.0,100.0
A_server_site_s3,site_s3,202,6.8182,132,5.6391,0.0,0.0,100.0
A_server_site_s3,site_s3,203,8.209,134,4.7441,0.0,0.0,100.0
A_server_site_s3,site_s3,204,1.5152,132,1.2516,0.0,0.0,100.0
A_server_site_s3,site_s3,205,14.0741,135,12.3288,0.0,0.0,100.0
A_server_site_s3,site_s3,206,4.5455,132,3.1368,0.0,0.0,100.0
A_server_site_s3,site_s3,207,7.4627,134,4.1302,0.0,0.0,100.0
A_server_site_s3,site_s3,208,2.2727,132,1.2516,0.0,0.0,100.0
A_server_site_s3,site_s3,209,14.0741,135,8.4472,0.0,0.0,100.0
A_server_site_s3,site_s3,210,8.209,134,5.618,0.0,0.0,100.0
A_server_site_s3,site_s3,211,1.5038,133,1.0025,0.0,0.0,100.0
A_server_site_s3,site_s3,212,8.9552,134,5.3683,0.0,0.0,100.0
A_server_site_s3,site_s3,213,2.2901,131,2.8822,0.0,0.0,100.0
A_server_site_s3,site_s3,214,5.1852,135,4.4888,0.0,0.0,100.0
A_server_site_s3,site_s3,215,16.6667,132,12.6884,0.0,0.0,100.0
A_server_site_s3,site_s3,216,7.5188,133,4.375,0.0,0.0,100.0
A_server_site_s3,site_s3,217,7.4627,134,3.5,0.0,0.0,100.0
A_server_site_s3,site_s3,218,5.2632,133,2.1144,0.0,0.0,100.0
A_server_site_s3,site_s3,219,4.4444,135,2.75,0.0,0.0,100.0
A_server_site_s3,site_s3,220,1.4925,134,1.1236,0.0,0.0,100.0
A_server_site_s3,site_s3,221,11.5385,130,7.1429,0.0,0.0,100.0
A_server_site_s3,site_s3,222,16.4179,134,13.0864,0.0,0.0,100.0
A_server_site_s3,site_s3,223,3.7037,135,2.4783,0.0,0.0,100.0
A_server_site_s3,site_s3,224,6.7669,133,4.1405,0.0,0.0,100.0
A_server_site_s3,site_s3,225,9.7015,134,7.6345,0.0,0.0,100.0
A_server_site_s3,site_s3,226,8.3333,132,3.6341,0.0,0.0,100.0
A_server_site_s3,site_s3,227,2.9851,134,3.2298,0.0,0.0,100.0
A_server_site_s3,site_s3,228,5.9701,134,4.1302,0.0,0.0,100.0
A_server_site_s3,site_s3,229,5.9701,134,5.2434,0.0,0.0,100.0
A_server_site_s3,site_s3,230,8.3333,132,5.5346,0.0,0.0,100.0
A_server_site_s3,site_s3,231,3.0303,132,3.1211,0.0,0.0,100.0
A_server_site_s3,site_s3,232,11.1111,135,7.472,0.0,0.0,100.0
A_server_site_s3,site_s3,233,5.9701,134,3.6295,0.0,0.0,100.0
A_server_site_s3,site_s3,234,7.5188,133,3.75,0.0,0.0,100.0
A_server_site_s3,site_s3,235,8.2707,133,5.0063,0.0,0.0,100.0
A_server_site_s3,site_s3,236,6.0606,132,5.125,0.0,0.0,100.0
A_server_site_s3,site_s3,237,4.4444,135,3.7406,0.0,0.0,100.0
A_server_site_s3,site_s3,238,9.0226,133,5.7572,0.0,0.0,100.0
A_server_site_s3,site_s3,239,6.7164,134,4.375,0.0,0.0,100.0
A_server_site_s3,site_s3,240,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,241,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,242,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,243,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,244,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,245,0.7576,132,0.5,0.0,0.0,100.0
A_server_site_s3,site_s3,246,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,247,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,248,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,249,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,250,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,251,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,252,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,253,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,254,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,255,0.7463,134,0.5006,0.0,0.0,100.0
A_server_site_s3,site_s3,256,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,257,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,258,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,259,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,260,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,261,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,262,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,263,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,264,0.0,135,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,265,0.0,133,0.2497,0.0,0.0,100.0
A_server_site_s3,site_s3,266,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,267,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,268,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,269,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,270,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,271,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,272,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,273,0.0,134,0.0,0.0,0.0,100.0
