t_sec,fc_s1_ms,fc_s1_ms_dnet,fc_s2_ms,fc_s2_ms_dnet,fc_s3_ms,fc_s3_ms_dnet,lat_search_ms,lat_reserve_ms,lat_recommend_ms,slo_search,slo_reserve,slo_recommend,share_s1_pct,share_s2_pct,share_s3_pct,n_search,phase
180,,,6.98,6.83,5.98,5.83,27.12,17.12,17.45,45.0,35.0,35.0,0.0,58.65,41.35,266,stress
181,,,8.48,8.33,6.47,6.32,26.98,17.18,17.58,45.0,35.0,35.0,0.0,58.05,41.95,267,stress
182,,,7.11,6.95,7.54,7.39,27.33,17.16,17.24,45.0,35.0,35.0,0.0,55.3,44.7,264,stress
183,,,6.19,6.03,6.29,6.13,26.8,17.09,17.64,45.0,35.0,35.0,0.0,58.52,41.48,270,stress
184,,,6.84,6.68,7.37,7.21,26.77,17.37,17.47,45.0,35.0,35.0,0.0,60.38,39.62,265,stress
185,,,6.63,6.48,6.17,6.02,27.03,17.16,17.34,45.0,35.0,35.0,0.0,56.39,43.61,266,stress
186,,,11.6,11.45,7.99,7.83,27.64,17.61,17.73,45.0,35.0,35.0,0.0,58.11,41.89,265,stress
187,,,7.07,6.92,6.37,6.21,27.34,16.96,17.27,45.0,35.0,35.0,0.0,55.22,44.78,268,stress
188,,,6.43,6.28,7.51,7.35,27.2,17.19,17.36,45.0,35.0,35.0,0.0,58.58,41.42,268,stress
189,,,8.19,8.04,10.62,10.47,26.61,17.19,17.65,45.0,35.0,35.0,0.0,64.04,35.96,267,stress
190,,,8.04,7.89,6.5,6.34,26.58,17.43,18.05,45.0,35.0,35.0,0.0,72.01,27.99,268,stress
191,,,6.43,6.27,6.7,6.55,26.65,17.09,17.42,45.0,35.0,35.0,0.0,59.09,40.91,264,stress
192,,,7.23,7.08,7.28,7.13,26.62,17.41,17.53,45.0,35.0,35.0,0.0,61.05,38.95,267,stress
193,,,6.53,6.38,6.46,6.31,26.8,17.12,17.47,45.0,35.0,35.0,0.0,57.14,42.86,266,stress
194,,,6.64,6.49,7.34,7.18,26.78,17.22,17.78,45.0,35.0,35.0,0.0,59.33,40.67,268,stress
195,,,7.5,7.35,7.92,7.77,27.25,16.95,17.36,45.0,35.0,35.0,0.0,56.23,43.77,265,stress
196,,,8.46,8.3,7.26,7.1,27.89,17.28,17.69,45.0,35.0,35.0,0.0,55.81,44.19,267,stress
197,,,7.05,6.89,5.89,5.74,27.27,16.96,17.22,45.0,35.0,35.0,0.0,55.6,44.4,268,stress
198,,,6.65,6.5,6.29,6.14,26.81,17.09,17.59,45.0,35.0,35.0,0.0,58.8,41.2,267,stress
199,,,7.94,7.79,6.82,6.66,26.9,17.29,17.65,45.0,35.0,35.0,0.0,58.8,41.2,267,stress
200,,,6.61,6.46,5.96,5.8,26.55,17.43,17.63,45.0,35.0,35.0,0.0,62.26,37.74,265,stress
201,,,6.18,6.02,5.88,5.73,27.15,17.18,17.37,45.0,35.0,35.0,0.0,56.18,43.82,267,stress
202,,,6.37,6.22,6.14,5.98,27.17,16.86,17.68,45.0,35.0,35.0,0.0,55.06,44.94,267,stress
203,,,6.59,6.44,7.71,7.56,26.61,17.23,18.07,45.0,35.0,35.0,0.0,61.94,38.06,268,stress
204,,,7.34,7.19,6.5,6.35,27.31,17.18,17.51,45.0,35.0,35.0,0.0,57.74,42.26,265,stress
205,,,7.03,6.87,7.7,7.54,26.34,17.29,17.64,45.0,35.0,35.0,0.0,59.4,40.6,266,stress
206,,,7.75,7.59,6.57,6.42,27.28,17.71,17.43,45.0,35.0,35.0,0.0,58.36,41.64,269,stress
207,,,6.7,6.55,7.64,7.49,26.77,17.43,17.25,45.0,35.0,35.0,0.0,56.02,43.98,266,stress
208,,,7.38,7.23,6.55,6.4,26.91,18.24,17.32,45.0,35.0,35.0,0.0,59.77,40.23,266,stress
209,,,6.68,6.53,6.75,6.6,26.78,16.94,17.38,45.0,35.0,35.0,0.0,57.95,42.05,264,stress
210,,,6.77,6.61,6.32,6.17,27.3,17.04,17.41,45.0,35.0,35.0,0.0,57.04,42.96,270,stress
211,,,6.17,6.01,6.89,6.73,27.75,17.16,17.19,45.0,35.0,35.0,0.0,52.06,47.94,267,stress
212,,,7.18,7.03,7.0,6.85,26.86,17.21,17.68,45.0,35.0,35.0,0.0,59.4,40.6,266,stress
213,,,7.15,7.0,7.48,7.33,26.66,16.94,17.85,45.0,35.0,35.0,0.0,60.38,39.62,265,stress
214,,,8.18,8.03,8.42,8.26,26.57,17.12,17.66,45.0,35.0,35.0,0.0,60.53,39.47,266,stress
215,,,9.18,9.03,6.46,6.31,27.69,17.34,17.77,45.0,35.0,35.0,0.0,56.51,43.49,269,stress
216,,,7.59,7.43,6.7,6.55,26.7,17.59,17.5,45.0,35.0,35.0,0.0,61.28,38.72,266,stress
217,,,7.7,7.54,6.12,5.97,26.61,17.63,18.16,45.0,35.0,35.0,0.0,62.17,37.83,267,stress
218,,,6.88,6.72,6.79,6.64,27.09,17.0,17.64,45.0,35.0,35.0,0.0,58.11,41.89,265,stress
