ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786343242.041,c2,recommend,,0.0,26.76,9.13,4.07,,0,,0,200.0,obs,1180,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,9.13,4.07,,9.412,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343243.041,c1,reserve,,0.0,26.34,8.29,3.7,,0,,0,36.0,obs,590,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,8.29,3.7,,9.501,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343243.041,c1,search,,0.0,31.1,9.32,10.93,,0,,0,4474.0,obs,881,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,9.32,10.93,,9.501,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343243.041,c1,recommend,,0.0,26.76,9.39,3.97,,0,,0,200.0,obs,1187,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,9.39,3.97,,9.501,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343243.041,c2,reserve,,0.0,26.34,8.29,3.7,,0,,0,36.0,obs,590,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,8.29,3.7,,9.501,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343243.041,c2,search,,0.0,31.1,9.32,10.93,,0,,0,4474.0,obs,881,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,9.32,10.93,,9.501,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343243.041,c2,recommend,,0.0,26.76,9.39,3.97,,0,,0,200.0,obs,1187,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,9.39,3.97,,9.501,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343244.041,c1,reserve,,0.0,26.34,8.01,3.75,,0,,0,36.0,obs,593,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,8.01,3.75,,9.434,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343244.041,c1,search,,0.0,31.1,9.87,11.0,,0,,0,4474.0,obs,885,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,9.87,11.0,,9.434,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343244.041,c1,recommend,,0.0,26.76,9.69,3.96,,0,,0,200.0,obs,1179,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,9.69,3.96,,9.434,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343244.041,c2,reserve,,0.0,26.34,8.01,3.75,,0,,0,36.0,obs,593,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,8.01,3.75,,9.434,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343244.041,c2,search,,0.0,31.1,9.87,11.0,,0,,0,4474.0,obs,885,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,9.87,11.0,,9.434,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343244.041,c2,recommend,,0.0,26.76,9.69,3.96,,0,,0,200.0,obs,1179,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,9.69,3.96,,9.434,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
