ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant
1785901028.999,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901028.999,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901028.999,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901028.999,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901030.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901030.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901030.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901030.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901030.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901030.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901031.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901031.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901031.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901031.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901031.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901031.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901032.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901032.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901032.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901032.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901032.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901032.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901033.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901033.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901033.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901033.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901033.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901033.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901034.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901034.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901034.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901034.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901034.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901034.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901035.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901035.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901035.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901035.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901035.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901035.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901036.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901036.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901036.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901036.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901036.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901036.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901037.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901037.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901037.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901037.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901037.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901037.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901038.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901038.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901038.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901038.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901038.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901038.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901039.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901039.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901039.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901039.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901039.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901039.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901040.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901040.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901040.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901040.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901040.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901040.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901041.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901041.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901041.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901041.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901041.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901041.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901042.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901042.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901042.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901042.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901042.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901042.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901043.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901043.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901043.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901043.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901043.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901043.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901044.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901044.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901044.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901044.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901044.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901044.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901045.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901045.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901045.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901045.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901045.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901045.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901046.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901046.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901046.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901046.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901046.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901046.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901047.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901047.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901047.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901047.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901047.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901047.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901048.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901048.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901048.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901048.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901048.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901048.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901049.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901049.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901049.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
