ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786308369.033,c1,search,,0.0,31.1,-77.23,10.98,S3,1,0.51,0,4474.0,obs,873,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,-77.23,10.98,S3,7.479,0,S3,site_s3,S3,S3,S3
1786308369.033,c1,recommend,,0.0,26.76,-20.64,4.0,S3,1,0.49,0,200.0,obs,1215,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,-20.64,4.0,S3,7.479,0,S3,site_s3,S3,S3,S3
1786308369.033,c2,reserve,,0.0,26.34,-39.98,3.65,S3,1,0.48,0,36.0,obs,608,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,-39.98,3.65,S3,7.479,0,S3,site_s3,S3,S3,S3
1786308369.033,c2,search,,0.0,31.1,-77.23,10.98,S3,1,0.48,0,4474.0,obs,873,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,-77.23,10.98,S3,7.479,0,S3,site_s3,S3,S3,S3
1786308369.033,c2,recommend,,0.0,26.76,-20.64,4.0,S3,1,0.47,0,200.0,obs,1215,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,-20.64,4.0,S3,7.479,0,S3,site_s3,S3,S3,S3
1786308370.035,c1,reserve,,0.0,26.34,13.67,-9.81,S2,1,0.74,0,36.0,obs,587,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-9.81,S2,9.695,0,S2,site_s2,S3,S3,S2
1786308370.035,c1,search,,0.0,31.1,20.71,-14.01,S2,1,0.49,0,4474.0,obs,884,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-14.01,S2,9.695,0,S2,site_s2,S3,S3,S2
1786308370.035,c1,recommend,,0.0,26.76,14.03,-2.34,S2,1,0.49,0,200.0,obs,1183,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-2.34,S2,9.695,0,S2,site_s2,S3,S3,S2
1786308370.035,c2,reserve,,0.0,26.34,13.67,-9.81,S2,1,0.48,0,36.0,obs,587,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-9.81,S2,9.695,0,S2,site_s2,S3,S3,S2
1786308370.035,c2,search,,0.0,31.1,20.71,-14.01,S2,1,0.48,0,4474.0,obs,884,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-14.01,S2,9.695,0,S2,site_s2,S3,S3,S2
1786308370.035,c2,recommend,,0.0,26.76,14.03,-2.34,S2,1,0.47,0,200.0,obs,1183,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-2.34,S2,9.695,0,S2,site_s2,S3,S3,S2
