policy,t_rel_s,class,n,S1_pct,S2_pct,S3_pct
SORTS,146,search,151,50.33,28.48,21.19
SORTS,147,recommend,201,0.0,58.21,41.79
SORTS,147,reserve,99,0.0,60.61,39.39
SORTS,147,search,149,49.66,28.19,22.15
SORTS,148,recommend,200,0.0,61.0,39.0
SORTS,148,reserve,99,0.0,47.47,52.53
SORTS,148,search,152,50.0,30.26,19.74
SORTS,149,recommend,199,0.0,59.8,40.2
SORTS,149,reserve,104,0.0,53.85,46.15
SORTS,149,search,148,50.0,27.7,22.3
SORTS,150,recommend,202,0.0,60.4,39.6
SORTS,150,reserve,96,0.0,57.29,42.71
SORTS,150,search,151,50.33,24.5,25.17
SORTS,151,recommend,198,0.0,60.1,39.9
SORTS,151,reserve,102,0.0,50.98,49.02
SORTS,151,search,151,49.67,30.46,19.87
SORTS,152,recommend,202,0.0,57.43,42.57
SORTS,152,reserve,97,0.0,54.64,45.36
SORTS,152,search,149,50.34,29.53,20.13
SORTS,153,recommend,198,0.0,60.61,39.39
SORTS,153,reserve,103,0.0,54.37,45.63
SORTS,153,search,150,50.0,28.67,21.33
SORTS,154,recommend,201,0.0,58.21,41.79
SORTS,154,reserve,100,0.0,58.0,42.0
SORTS,154,search,148,50.0,26.35,23.65
SORTS,155,recommend,199,0.0,55.78,44.22
SORTS,155,reserve,98,0.0,61.22,38.78
SORTS,155,search,153,49.67,27.45,22.88
SORTS,156,recommend,199,0.0,59.3,40.7
SORTS,156,reserve,103,0.0,56.31,43.69
SORTS,156,search,148,50.0,28.38,21.62
SORTS,157,recommend,202,0.0,56.93,43.07
SORTS,157,reserve,96,0.0,61.46,38.54
SORTS,157,search,152,50.0,25.66,24.34
SORTS,158,recommend,198,0.0,55.05,44.95
SORTS,158,reserve,103,0.0,57.28,42.72
SORTS,158,search,150,50.0,32.0,18.0
SORTS,159,recommend,203,0.0,62.56,37.44
SORTS,159,reserve,98,0.0,52.04,47.96
SORTS,159,search,150,50.0,30.0,20.0
SORTS,160,recommend,197,0.0,59.39,40.61
SORTS,160,reserve,102,0.0,53.92,46.08
SORTS,160,search,150,50.0,24.0,26.0
SORTS,161,recommend,203,0.0,59.61,40.39
SORTS,161,reserve,98,0.0,55.1,44.9
SORTS,161,search,148,50.0,29.05,20.95
SORTS,162,recommend,197,0.0,59.39,40.61
SORTS,162,reserve,102,0.0,52.94,47.06
SORTS,162,search,152,50.0,28.29,21.71
SORTS,163,recommend,203,0.0,57.64,42.36
SORTS,163,reserve,100,0.0,54.0,46.0
SORTS,163,search,147,50.34,30.61,19.05
SORTS,164,recommend,199,0.0,58.29,41.71
