run,t_rel_s,S1_inflow_rps
E2_sorts_near,56,607
E2_sorts_near,57,594
E2_sorts_near,58,606
E2_sorts_near,59,610
E2_sorts_near,60,609
E2_sorts_near,61,591
E2_sorts_near,62,601
E2_sorts_near,63,627
E2_sorts_near,64,583
E2_sorts_near,65,613
E2_sorts_near,66,606
E2_sorts_near,67,604
E2_sorts_near,68,593
E2_sorts_near,69,599
E2_sorts_near,70,618
E2_sorts_near,71,610
E2_sorts_near,72,598
E2_sorts_near,73,590
E2_sorts_near,74,580
E2_sorts_near,75,615
E2_sorts_near,76,602
E2_sorts_near,77,605
E2_sorts_near,78,613
E2_sorts_near,79,605
E2_sorts_near,80,586
E2_sorts_near,81,602
E2_sorts_near,82,605
E2_sorts_near,83,598
E2_sorts_near,84,584
E2_sorts_near,85,611
E2_sorts_near,86,601
E2_sorts_near,87,601
E2_sorts_near,88,599
E2_sorts_near,89,591
E2_sorts_near,90,619
E2_sorts_near,91,593
E2_sorts_near,92,619
E2_sorts_near,93,597
E2_sorts_near,94,546
E2_sorts_near,95,604
E2_sorts_near,96,613
E2_sorts_near,97,576
E2_sorts_near,98,625
E2_sorts_near,99,580
E2_sorts_near,100,607
E2_sorts_near,101,599
E2_sorts_near,102,604
E2_sorts_near,103,614
E2_sorts_near,104,578
E2_sorts_near,105,605
E2_sorts_near,106,605
E2_sorts_near,107,597
E2_sorts_near,108,591
E2_sorts_near,109,607
E2_sorts_near,110,591
E2_sorts_near,111,594
E2_sorts_near,112,598
E2_sorts_near,113,604
E2_sorts_near,114,583
E2_sorts_near,115,585
E2_sorts_near,116,591
E2_sorts_near,117,598
E2_sorts_near,118,602
E2_sorts_near,119,593
E2_sorts_near,120,590
E2_sorts_near,121,584
E2_sorts_near,122,618
E2_sorts_near,123,589
E2_sorts_near,124,583
E2_sorts_near,125,598
E2_sorts_near,126,592
E2_sorts_near,127,592
E2_sorts_near,128,596
E2_sorts_near,129,592
E2_sorts_near,130,578
E2_sorts_near,131,588
E2_sorts_near,132,597
E2_sorts_near,133,596
E2_sorts_near,134,585
E2_sorts_near,135,574
E2_sorts_near,136,614
E2_sorts_near,137,577
E2_sorts_near,138,600
E2_sorts_near,139,596
E2_sorts_near,140,597
E2_sorts_near,141,592
E2_sorts_near,142,590
E2_sorts_near,143,601
E2_sorts_near,144,576
E2_sorts_near,145,594
E2_sorts_near,146,596
E2_sorts_near,147,585
E2_sorts_near,148,596
E2_sorts_near,149,606
E2_sorts_near,150,586
E2_sorts_near,151,590
E2_sorts_near,152,599
E2_sorts_near,153,602
E2_sorts_near,154,563
E2_sorts_near,155,590
E2_sorts_near,156,596
E2_sorts_near,157,601
E2_sorts_near,158,586
E2_sorts_near,159,604
E2_sorts_near,160,584
E2_sorts_near,161,596
E2_sorts_near,162,591
E2_sorts_near,163,604
E2_sorts_near,164,564
E2_sorts_near,165,582
E2_sorts_near,166,607
E2_sorts_near,167,580
E2_sorts_near,168,599
E2_sorts_near,169,592
E2_sorts_near,170,601
E2_sorts_near,171,622
E2_sorts_near,172,617
E2_sorts_near,173,620
E2_sorts_near,174,584
E2_sorts_near,175,612
E2_sorts_near,176,621
E2_sorts_near,177,618
E2_sorts_near,178,609
E2_sorts_near,179,618
E2_sorts_near,180,619
E2_sorts_near,181,619
E2_sorts_near,182,595
E2_sorts_near,183,627
E2_sorts_near,184,586
E2_sorts_near,185,626
E2_sorts_near,186,598
E2_sorts_near,187,630
E2_sorts_near,188,611
E2_sorts_near,189,613
E2_sorts_near,190,624
E2_sorts_near,191,609
E2_sorts_near,192,605
E2_sorts_near,193,603
E2_sorts_near,194,602
E2_sorts_near,195,629
E2_sorts_near,196,622
E2_sorts_near,197,604
E2_sorts_near,198,603
E2_sorts_near,199,620
E2_sorts_near,200,605
E2_sorts_near,201,625
E2_sorts_near,202,615
E2_sorts_near,203,603
E2_sorts_near,204,599
E2_sorts_near,205,613
E2_sorts_near,206,588
E2_sorts_near,207,630
E2_sorts_near,208,616
E2_sorts_near,209,622
E2_sorts_near,210,607
E2_sorts_near,211,604
E2_sorts_near,212,608
E2_sorts_near,213,599
E2_sorts_near,214,568
E2_sorts_near,215,634
E2_sorts_near,216,610
E2_sorts_near,217,606
E2_sorts_near,218,610
E2_sorts_near,219,628
E2_sorts_near,220,602
E2_sorts_near,221,615
E2_sorts_near,222,621
E2_sorts_near,223,615
E2_sorts_near,224,580
E2_sorts_near,225,626
E2_sorts_near,226,620
E2_sorts_near,227,613
E2_sorts_near,228,599
E2_sorts_near,229,623
E2_sorts_near,230,630
E2_sorts_near,231,601
E2_sorts_near,232,619
E2_sorts_near,233,598
E2_sorts_near,234,595
E2_sorts_near,235,604
E2_sorts_near,236,606
E2_sorts_near,237,606
E2_sorts_near,238,613
E2_sorts_near,239,600
E2_sorts_near,240,590
E2_sorts_near,241,583
E2_sorts_near,242,576
E2_sorts_near,243,589
E2_sorts_near,244,552
E2_sorts_near,245,557
E2_sorts_near,246,568
E2_sorts_near,247,566
E2_sorts_near,248,571
E2_sorts_near,249,565
E2_sorts_near,250,544
E2_sorts_near,251,512
E2_sorts_near,252,19
E3_lr,-40,33
E3_lr,-39,394
E3_lr,-38,391
E3_lr,-37,388
E3_lr,-36,402
E3_lr,-35,395
E3_lr,-34,404
E3_lr,-33,388
E3_lr,-32,408
E3_lr,-31,398
E3_lr,-30,387
E3_lr,-29,400
E3_lr,-28,403
E3_lr,-27,375
E3_lr,-26,398
E3_lr,-25,387
E3_lr,-24,399
E3_lr,-23,388
E3_lr,-22,404
E3_lr,-21,398
E3_lr,-20,386
E3_lr,-19,397
E3_lr,-18,417
E3_lr,-17,370
E3_lr,-16,374
E3_lr,-15,387
E3_lr,-14,402
E3_lr,-13,381
E3_lr,-12,394
E3_lr,-11,397
E3_lr,-10,382
E3_lr,-9,401
E3_lr,-8,401
E3_lr,-7,378
E3_lr,-6,394
E3_lr,-5,386
E3_lr,-4,402
E3_lr,-3,413
E3_lr,-2,386
E3_lr,-1,385
E3_lr,0,794
E3_lr,1,384
E3_lr,2,390
E3_lr,3,404
E3_lr,4,387
E3_lr,5,409
E3_lr,6,384
E3_lr,7,386
E3_lr,8,383
E3_lr,9,386
E3_lr,10,393
E3_lr,11,399
E3_lr,12,370
E3_lr,13,395
E3_lr,14,380
E3_lr,15,386
E3_lr,16,405
E3_lr,17,384
E3_lr,18,392
E3_lr,19,396
E3_lr,20,382
E3_lr,21,408
E3_lr,22,382
E3_lr,23,408
E3_lr,24,386
E3_lr,25,391
E3_lr,26,372
E3_lr,27,384
E3_lr,28,392
E3_lr,29,393
E3_lr,30,401
E3_lr,31,393
E3_lr,32,382
E3_lr,33,398
E3_lr,34,396
E3_lr,35,392
E3_lr,36,410
E3_lr,37,401
E3_lr,38,376
E3_lr,39,392
E3_lr,40,393
E3_lr,41,395
E3_lr,42,374
E3_lr,43,382
E3_lr,44,385
E3_lr,45,387
E3_lr,46,400
E3_lr,47,391
E3_lr,48,382
E3_lr,49,395
E3_lr,50,392
E3_lr,51,399
E3_lr,52,381
E3_lr,53,399
E3_lr,54,395
E3_lr,55,394
E3_lr,56,386
E3_lr,57,386
E3_lr,58,389
E3_lr,59,397
E3_lr,60,403
E3_lr,61,412
E3_lr,62,388
E3_lr,63,390
E3_lr,64,386
E3_lr,65,413
E3_lr,66,380
E3_lr,67,401
E3_lr,68,391
E3_lr,69,382
E3_lr,70,390
E3_lr,71,397
E3_lr,72,385
E3_lr,73,389
E3_lr,74,389
E3_lr,75,389
E3_lr,76,401
E3_lr,77,396
E3_lr,78,406
E3_lr,79,380
E3_lr,80,397
E3_lr,81,389
E3_lr,82,383
E3_lr,83,378
E3_lr,84,392
E3_lr,85,397
E3_lr,86,369
E3_lr,87,383
E3_lr,88,385
E3_lr,89,401
E3_lr,90,401
E3_lr,91,386
E3_lr,92,391
E3_lr,93,406
E3_lr,94,401
E3_lr,95,396
E3_lr,96,400
E3_lr,97,385
E3_lr,98,388
E3_lr,99,388
E3_lr,100,409
E3_lr,101,392
E3_lr,102,400
E3_lr,103,395
E3_lr,104,395
E3_lr,105,384
E3_lr,106,392
E3_lr,107,380
E3_lr,108,382
E3_lr,109,394
E3_lr,110,381
E3_lr,111,391
E3_lr,112,370
E3_lr,113,385
E3_lr,114,380
E3_lr,115,400
E3_lr,116,395
E3_lr,117,382
E3_lr,118,395
E3_lr,119,393
E3_lr,120,397
E3_lr,121,385
E3_lr,122,375
E3_lr,123,392
E3_lr,124,389
E3_lr,125,379
E3_lr,126,387
E3_lr,127,382
E3_lr,128,373
E3_lr,129,407
E3_lr,130,385
E3_lr,131,378
E3_lr,132,390
E3_lr,133,379
E3_lr,134,395
E3_lr,135,389
E3_lr,136,374
E3_lr,137,373
E3_lr,138,392
E3_lr,139,394
E3_lr,140,390
E3_lr,141,386
E3_lr,142,377
E3_lr,143,412
E3_lr,144,395
E3_lr,145,387
E3_lr,146,398
E3_lr,147,387
E3_lr,148,388
E3_lr,149,383
E3_lr,150,379
E3_lr,151,378
E3_lr,152,403
E3_lr,153,376
E3_lr,154,393
E3_lr,155,385
E3_lr,156,408
E3_lr,157,380
E3_lr,158,393
E3_lr,159,396
E3_lr,160,393
E3_lr,161,374
E3_lr,162,364
E3_lr,163,391
E3_lr,164,395
E3_lr,165,404
E3_lr,166,391
E3_lr,167,400
E3_lr,168,379
E3_lr,169,388
E3_lr,170,373
E3_lr,171,414
E3_lr,172,395
E3_lr,173,398
E3_lr,174,400
E3_lr,175,381
E3_lr,176,390
E3_lr,177,389
E3_lr,178,405
E3_lr,179,396
E3_lr,180,404
E3_lr,181,391
E3_lr,182,391
E3_lr,183,394
E3_lr,184,403
E3_lr,185,394
E3_lr,186,392
E3_lr,187,405
E3_lr,188,395
E3_lr,189,399
E3_lr,190,412
E3_lr,191,404
E3_lr,192,365
E3_lr,193,388
E3_lr,194,392
E3_lr,195,411
E3_lr,196,401
E3_lr,197,399
E3_lr,198,387
E3_lr,199,404
E3_lr,200,392
E3_lr,201,397
E3_lr,202,373
E3_lr,203,392
E3_lr,204,396
E3_lr,205,392
E3_lr,206,382
E3_lr,207,400
E3_lr,208,408
E3_lr,209,390
E3_lr,210,389
E3_lr,211,407
E3_lr,212,394
E3_lr,213,395
E3_lr,214,391
E3_lr,215,384
E3_lr,216,386
E3_lr,217,386
E3_lr,218,374
E3_lr,219,399
E3_lr,220,395
E3_lr,221,401
E3_lr,222,385
E3_lr,223,391
E3_lr,224,387
E3_lr,225,385
E3_lr,226,406
E3_lr,227,390
E3_lr,228,394
E3_lr,229,389
E3_lr,230,379
E3_lr,231,393
E3_lr,232,390
E3_lr,233,401
E3_lr,234,388
E3_lr,235,401
E3_lr,236,382
E3_lr,237,403
E3_lr,238,379
E3_lr,239,344
