ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes
1786118546.027,c2,search,,0.0,31.1,20.71,10.72,S3,0,,0,4474.0,obs,517,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.72,S3,4.708,0
1786118546.027,c2,recommend,,0.0,26.76,14.03,3.78,S3,0,,0,200.0,obs,694,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.78,S3,4.708,0
1786118547.027,c1,reserve,,0.0,26.34,13.67,3.57,S3,0,,0,36.0,obs,342,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.57,S3,4.687,0
1786118547.027,c1,search,,0.0,31.1,20.71,10.61,S3,0,,0,4474.0,obs,520,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.61,S3,4.687,0
1786118547.027,c1,recommend,,0.0,26.76,14.03,3.8,S3,0,,0,200.0,obs,692,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.8,S3,4.687,0
1786118547.027,c2,reserve,,0.0,26.34,13.67,3.57,S3,0,,0,36.0,obs,342,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.57,S3,4.687,0
1786118547.027,c2,search,,0.0,31.1,20.71,10.61,S3,0,,0,4474.0,obs,520,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.61,S3,4.687,0
1786118547.027,c2,recommend,,0.0,26.76,14.03,3.8,S3,0,,0,200.0,obs,692,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.8,S3,4.687,0
1786118548.027,c1,reserve,,0.0,26.34,13.67,3.5,S3,0,,0,36.0,obs,347,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.5,S3,4.666,0
1786118548.027,c1,search,,0.0,31.1,20.71,10.49,S3,0,,0,4474.0,obs,521,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.49,S3,4.666,0
1786118548.027,c1,recommend,,0.0,26.76,14.03,3.79,S3,0,,0,200.0,obs,687,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.79,S3,4.666,0
1786118548.027,c2,reserve,,0.0,26.34,13.67,3.5,S3,0,,0,36.0,obs,347,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.5,S3,4.666,0
1786118548.027,c2,search,,0.0,31.1,20.71,10.49,S3,0,,0,4474.0,obs,521,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.49,S3,4.666,0
